capsule,n_questions,n_llm_verifier,n_str_verifier,n_range_verifier,mean_question_chars,topics,hypothesis,source_paper,family_size,piloted,pilot_max_steps,cost_valid_at_40,usd_per_replica,min_per_replica,usd_per_rollout,actions_min,actions_median,actions_max,n_hit_ceiling,n_empty_answer,n_correct_exact
bix-1,2,0,2,0,355,Differential Expression Analysis; Network Biology; RNA-seq; Transcriptomics,"Truncating ASXL1 mutations will lead to specific gene expression changes in blood that reflect alterations in hematological processes, such as T cell and neutrophil activation.",https://doi.org/10.1172/jci.insight.167744,4,True,40,True,0.8430,7.8,0.4215,11,15,19,0,0,0
bix-2,2,0,0,2,189,Genomic Variant Analysis; Genomics,"Bloom Syndrome (BSyn) probands and BLM mutation carriers will have a higher mean proportion of low-frequency, somatic CHIP gene variants (VAF < 0.3) compared to control cohorts, given that mutations in the BLM gene are known to cause increased genomic instability.",doi.org/10.3324/haematol.2024.285239,2,False,,,,,,,,,,,
bix-3,5,1,0,4,304,Differential Expression Analysis; RNA-seq; Transcriptomics,Antidepressant Paroxetine has negligible effects on gene expression in control (non-depressed) mice,https://zenodo.org/records/4287588,2,False,,,,,,,,,,,
bix-4,7,7,0,0,82,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),Fungi exhibit more clock-like patterns of molecular evolution compared to animals.,,1,True,40,True,7.6157,15.5,1.0880,15,19,40,1,1,0
bix-5,2,2,0,0,92,Differential Expression Analysis; Network Biology; RNA-seq; Transcriptomics,"Truncating ASXL1 mutations that cause Bohring-Opitz syndrome (BOS) will cause specific transcriptional changes that are tissue-specific, such as processes related to cellular structure in patient-derived fibroblast cell culture.",https://doi.org/10.1172/jci.insight.167744,4,False,,,,,,,,,,,
bix-6,6,2,2,2,134,Functional Genomics,"Immune-relevant pathways will be enriched within the set of genes that, when perturbed, enable cancer cells to evade T cell-mediated cytotoxicity.",https://www.nature.com/articles/s41467-022-29205-8#Abs1,1,False,,,,,,,,,,,
bix-7,3,0,1,2,115,Genomic Variant Analysis; Genomics,"Bloom Syndrome (BSyn) probands and BLM mutation carriers will have similar levels of germline mutations to controls, but will acquire more DNA mutations, resulting in a higher number of somatic variants, given that Bloom Syndrome is characterized by increased genomic instability.",https://doi.org/10.3324/haematol.2024.285239,4,False,,,,,,,,,,,
bix-8,6,1,4,1,132,Differential Expression Analysis; Epigenomics; RNA-seq,mRNA m6A methylation plays a significant role in the development of human bladder cancer,10.17632/dj4sb8h3c3.1,2,True,20,True,1.3525,1.7,0.2254,9,10,14,0,0,1
bix-9,3,2,1,0,286,Differential Expression Analysis; RNA-seq; Transcriptomics,Paroxetine induces tissue-specific gene expression changes in depressed mice,https://zenodo.org/records/4287588,2,False,,,,,,,,,,,
bix-10,7,0,1,6,229,Other,Tubercolosis BCG re-vaccination reduces COVID-19 disease severity among healthcare workers,https://zenodo.org/records/12737228,2,False,,,,,,,,,,,
bix-11,6,6,0,0,73,Genomics; Phylogenetics and Evolutionary Analysis,Fungi have higher treeness values compared to animals.,,1,False,,,,,,,,,,,
bix-12,5,5,0,0,101,Genomics; Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),Fungi have more parsimony informative sites compared to animals.,,1,False,,,,,,,,,,,
bix-13,5,0,5,0,275,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,Knocking out either rhlI or lasI impacts the downstream expression of dozens of genes which may be involved in mediating the observed division of labor.,https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-14,3,0,1,2,202,Genomic Variant Analysis; Genomics,The distribution of variant effects / types of putative somatic CHIP variants in Bloom Syndrome probands and carriers will not differ significantly from that of controls.,https://doi.org/10.1172/jci.insight.167744,4,False,,,,,,,,,,,
bix-16,4,1,2,1,158,Functional Genomics; Transcriptomics,Genes with higher expression levels are more critical for cancer cell survival and exhibit higher essentiality.,,1,False,,,,,,,,,,,
bix-17,1,0,1,0,284,Genomic Variant Analysis; Genomics,The increased number of somatic variants in CHIP (clonal haematopoiesis of indeterminate potential) genes found in Bloom syndrome probands and carriers is not an effect of increased germline variants in CHIP genes.,https://doi.org/10.3324/haematol.2024.285239,4,False,,,,,,,,,,,
bix-18,5,0,1,4,100,Imaging,"Disrupting genes in either the las or rhl quorum sensing (QS) systems, either the receptors or the synthases, abrogates swarming motility, a form of movement that allows Pseudomonas aeruginosa and other bacteria to expand their access to nutrients and therefore increase their fitness.",https://doi.org/10.17912/micropub.biology.001326,7,False,,,,,,,,,,,
bix-19,5,1,1,3,194,Imaging; Other,Significant neuronal damage is induced by OXTR gene knockdown across rodent species,"https://zenodo.org/records/8036465, https://www.science.org/doi/10.1126/sciadv.adf4950",1,False,,,,,,,,,,,
bix-20,4,0,0,4,291,Genomic Variant Analysis; Genomics,The distribution of variant pathogenicity of putative somatic CHIP variants in Bloom Syndrome probands and carriers will not differ significantly from that of controls.,doi.org/10.3324/haematol.2024.285239,2,False,,,,,,,,,,,
bix-21,1,1,0,0,53,Phylogenetics and Evolutionary Analysis; Whole Genome Sequencing (WGS),Animals will have lower signatures of saturation by multiple substitutions than fungi.,,1,False,,,,,,,,,,,
bix-22,5,0,1,4,151,RNA-seq; Sequence Analysis; Transcriptomics,Gene length positively correlates with expression level across immune cell types in children,https://zenodo.org/records/10000430,3,False,,,,,,,,,,,
bix-24,3,3,0,0,199,Differential Expression Analysis; RNA-seq; Sequence Analysis; Transcriptomics,CBD treatment of CRC cells causes metabolic dysregulation in the cells,"https://zenodo.org/records/8353706, https://www.mdpi.com/1422-0067/24/19/14743",2,False,,,,,,,,,,,
