answer_set,grader,uuid,capsule,eval_mode,raw_verdict,harness_grade,harness_correct,prompt_tokens,completion_tokens
gpt-4o,gpt-4o-2024-11-20,bix-1-q1,bix-1,str_verifier,refused,0,False,203,8
gpt-4o,gpt-4o-2024-11-20,bix-1-q2,bix-1,str_verifier,incorrect,0,False,173,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q1,bix-10,range_verifier,refused,0,False,232,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q2,bix-10,range_verifier,refused,0,False,280,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q3,bix-10,str_verifier,refused,0,False,193,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q4,bix-10,range_verifier,refused,0,False,331,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q5,bix-10,range_verifier,refused,0,False,201,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q6,bix-10,range_verifier,refused,0,False,203,7
gpt-4o,gpt-4o-2024-11-20,bix-10-q7,bix-10,range_verifier,refused,0,False,244,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q1,bix-11,llm_verifier,refused,0,False,173,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q2,bix-11,llm_verifier,incorrect,0,False,112,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q3,bix-11,llm_verifier,incorrect,0,False,113,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q4,bix-11,llm_verifier,refused,0,False,161,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q5,bix-11,llm_verifier,refused,0,False,155,7
gpt-4o,gpt-4o-2024-11-20,bix-11-q6,bix-11,llm_verifier,refused,0,False,112,7
gpt-4o,gpt-4o-2024-11-20,bix-12-q2,bix-12,llm_verifier,incorrect,0,False,117,7
gpt-4o,gpt-4o-2024-11-20,bix-12-q3,bix-12,llm_verifier,incorrect,0,False,119,7
gpt-4o,gpt-4o-2024-11-20,bix-12-q4,bix-12,llm_verifier,refused,0,False,167,7
gpt-4o,gpt-4o-2024-11-20,bix-12-q5,bix-12,llm_verifier,refused,0,False,160,7
gpt-4o,gpt-4o-2024-11-20,bix-12-q6,bix-12,llm_verifier,refused,0,False,164,7
gpt-4o,gpt-4o-2024-11-20,bix-13-q1,bix-13,str_verifier,refused,0,False,185,7
gpt-4o,gpt-4o-2024-11-20,bix-13-q2,bix-13,str_verifier,refused,0,False,168,7
gpt-4o,gpt-4o-2024-11-20,bix-13-q3,bix-13,str_verifier,refused,0,False,181,7
gpt-4o,gpt-4o-2024-11-20,bix-13-q4,bix-13,str_verifier,refused,0,False,234,7
gpt-4o,gpt-4o-2024-11-20,bix-13-q5,bix-13,str_verifier,incorrect,0,False,177,7
gpt-4o,gpt-4o-2024-11-20,bix-14-q1,bix-14,range_verifier,refused,0,False,233,7
gpt-4o,gpt-4o-2024-11-20,bix-14-q2,bix-14,range_verifier,refused,0,False,245,7
gpt-4o,gpt-4o-2024-11-20,bix-14-q3,bix-14,str_verifier,refused,0,False,187,7
gpt-4o,gpt-4o-2024-11-20,bix-16-q1,bix-16,str_verifier,refused,0,False,133,7
gpt-4o,gpt-4o-2024-11-20,bix-16-q2,bix-16,llm_verifier,correct,1,True,174,7
gpt-4o,gpt-4o-2024-11-20,bix-16-q3,bix-16,str_verifier,refused,0,False,148,7
gpt-4o,gpt-4o-2024-11-20,bix-16-q4,bix-16,range_verifier,refused,0,False,219,7
gpt-4o,gpt-4o-2024-11-20,bix-17-q2,bix-17,str_verifier,refused,0,False,202,8
gpt-4o,gpt-4o-2024-11-20,bix-18-q1,bix-18,range_verifier,refused,0,False,218,7
gpt-4o,gpt-4o-2024-11-20,bix-18-q2,bix-18,str_verifier,incorrect,0,False,121,7
gpt-4o,gpt-4o-2024-11-20,bix-18-q3,bix-18,range_verifier,refused,0,False,181,7
gpt-4o,gpt-4o-2024-11-20,bix-18-q4,bix-18,range_verifier,refused,0,False,202,7
gpt-4o,gpt-4o-2024-11-20,bix-18-q5,bix-18,range_verifier,refused,0,False,233,7
gpt-4o,gpt-4o-2024-11-20,bix-19-q1,bix-19,str_verifier,refused,0,False,182,7
gpt-4o,gpt-4o-2024-11-20,bix-19-q2,bix-19,range_verifier,refused,0,False,207,7
gpt-4o,gpt-4o-2024-11-20,bix-19-q3,bix-19,range_verifier,refused,0,False,243,7
gpt-4o,gpt-4o-2024-11-20,bix-19-q4,bix-19,range_verifier,refused,0,False,203,7
gpt-4o,gpt-4o-2024-11-20,bix-19-q5,bix-19,llm_verifier,refused,0,False,226,7
gpt-4o,gpt-4o-2024-11-20,bix-2-q1,bix-2,range_verifier,refused,0,False,275,7
