capsule,n_questions,n_llm_graded,topics
bix-1,2,0,enrichment_pathway;rnaseq_diffexpr;variant_genomics
bix-2,2,0,clinical_survival;variant_genomics
bix-3,5,1,rnaseq_diffexpr
bix-4,7,7,rnaseq_diffexpr
bix-5,2,2,
bix-6,6,2,enrichment_pathway
bix-7,3,0,variant_genomics
bix-8,6,1,rnaseq_diffexpr
bix-9,3,2,
bix-10,7,0,
bix-11,6,6,
bix-12,5,5,
bix-13,5,0,rnaseq_diffexpr
bix-14,3,0,clinical_survival;variant_genomics
bix-16,4,1,rnaseq_diffexpr
bix-17,1,0,variant_genomics
bix-18,5,0,
bix-19,5,1,
bix-20,4,0,variant_genomics
bix-21,1,1,
bix-22,5,0,
bix-24,3,3,enrichment_pathway;rnaseq_diffexpr
bix-25,2,2,
bix-26,3,0,enrichment_pathway
bix-27,3,1,enrichment_pathway
bix-28,6,6,
bix-29,4,3,
bix-30,4,0,rnaseq_diffexpr
bix-31,4,0,rnaseq_diffexpr
bix-32,3,2,enrichment_pathway
bix-33,2,0,rnaseq_diffexpr
bix-34,6,6,
bix-35,4,4,
bix-36,4,0,
bix-37,4,1,
bix-38,5,5,
bix-39,1,0,variant_genomics
bix-41,4,0,
bix-42,2,1,
bix-43,5,2,enrichment_pathway;rnaseq_diffexpr
bix-45,4,4,
bix-46,2,0,enrichment_pathway
bix-47,2,0,variant_genomics
bix-49,5,0,rnaseq_diffexpr;variant_genomics
bix-51,7,0,
bix-52,6,1,
bix-53,5,2,enrichment_pathway;rnaseq_diffexpr
bix-54,7,0,
bix-55,1,1,
bix-56,1,1,
bix-57,1,1,
bix-58,1,1,
bix-60,1,1,
bix-61,6,6,variant_genomics
