uuid,correct_gpt4o,correct_claude,correct_gpt5,capsule,question,replica,responded
bix-26-q3_replica_0,TRUE,TRUE,TRUE,bix-26,bix-26-q3,0,TRUE
bix-26-q3_replica_1,TRUE,TRUE,TRUE,bix-26,bix-26-q3,1,TRUE
bix-26-q3_replica_2,TRUE,TRUE,TRUE,bix-26,bix-26-q3,2,TRUE
bix-26-q3_replica_3,TRUE,TRUE,TRUE,bix-26,bix-26-q3,3,TRUE
bix-26-q3_replica_7,TRUE,TRUE,TRUE,bix-26,bix-26-q3,7,TRUE
bix-26-q3_replica_8,TRUE,TRUE,TRUE,bix-26,bix-26-q3,8,TRUE
bix-26-q4_replica_0,FALSE,FALSE,FALSE,bix-26,bix-26-q4,0,TRUE
bix-26-q4_replica_1,TRUE,TRUE,TRUE,bix-26,bix-26-q4,1,TRUE
bix-26-q4_replica_3,TRUE,TRUE,TRUE,bix-26,bix-26-q4,3,TRUE
bix-26-q4_replica_4,TRUE,TRUE,TRUE,bix-26,bix-26-q4,4,TRUE
bix-26-q4_replica_5,FALSE,FALSE,FALSE,bix-26,bix-26-q4,5,TRUE
bix-26-q4_replica_6,TRUE,TRUE,TRUE,bix-26,bix-26-q4,6,TRUE
bix-26-q4_replica_7,TRUE,TRUE,TRUE,bix-26,bix-26-q4,7,TRUE
bix-26-q5_replica_0,FALSE,FALSE,FALSE,bix-26,bix-26-q5,0,TRUE
bix-26-q5_replica_1,FALSE,FALSE,FALSE,bix-26,bix-26-q5,1,TRUE
bix-26-q5_replica_2,FALSE,FALSE,FALSE,bix-26,bix-26-q5,2,TRUE
bix-26-q5_replica_4,FALSE,FALSE,FALSE,bix-26,bix-26-q5,4,TRUE
bix-26-q5_replica_5,FALSE,FALSE,FALSE,bix-26,bix-26-q5,5,TRUE
bix-26-q5_replica_6,FALSE,FALSE,FALSE,bix-26,bix-26-q5,6,TRUE
bix-26-q5_replica_7,FALSE,FALSE,FALSE,bix-26,bix-26-q5,7,TRUE
bix-26-q5_replica_8,FALSE,FALSE,FALSE,bix-26,bix-26-q5,8,TRUE
bix-26-q5_replica_9,FALSE,FALSE,FALSE,bix-26,bix-26-q5,9,TRUE
bix-49-q1_replica_0,FALSE,FALSE,FALSE,bix-49,bix-49-q1,0,TRUE
bix-49-q1_replica_1,FALSE,FALSE,FALSE,bix-49,bix-49-q1,1,TRUE
bix-49-q1_replica_2,FALSE,FALSE,FALSE,bix-49,bix-49-q1,2,TRUE
