capsule,capsule_uuid,n_questions,n_llm_verifier,n_str_verifier,n_range_verifier,in_rnaseq_cluster,categories,paper
bix-1,33b801bb-9b47-4a0a-9314-05325c82fde7,2,0,2,0,True,Differential Expression Analysis;Network Biology;RNA-seq;Transcriptomics,https://doi.org/10.1172/jci.insight.167744
bix-2,30b33e47-92d8-4372-a9f6-da32896493d0,2,0,0,2,False,Genomic Variant Analysis;Genomics,doi.org/10.3324/haematol.2024.285239
bix-3,94bcdbc9-c729-4661-9bc1-0057bbea39c4,5,1,0,4,True,Differential Expression Analysis;RNA-seq;Transcriptomics,https://zenodo.org/records/4287588
bix-4,ec9eb551-feee-48f6-8494-fd85e1521881,7,7,0,0,False,Genomics;Phylogenetics and Evolutionary Analysis;Whole Genome Sequencing (WGS),Not Available
bix-5,2a8a40d4-05b0-4eec-8bd2-825f61fc9f5d,2,2,0,0,True,Differential Expression Analysis;Network Biology;RNA-seq;Transcriptomics,https://doi.org/10.1172/jci.insight.167744
bix-6,f4dcda89-678d-403d-b155-1483d0071765,6,2,2,2,False,Functional Genomics,https://www.nature.com/articles/s41467-022-29205-8#Abs1
bix-7,a02b761a-02b6-46b5-9d5e-2964d5a74960,3,0,1,2,False,Genomic Variant Analysis;Genomics,https://doi.org/10.3324/haematol.2024.285239
bix-8,48a6b469-9c9d-4bef-b5b4-f29b7d6fa046,6,1,4,1,True,Differential Expression Analysis;Epigenomics;RNA-seq,10.17632/dj4sb8h3c3.1
bix-9,873bada5-b1f3-423a-87dc-9ddd486c4843,3,2,1,0,True,Differential Expression Analysis;RNA-seq;Transcriptomics,https://zenodo.org/records/4287588
bix-10,fbe0e950-76f2-4eb7-a216-a2d377970922,7,0,1,6,False,Other,https://zenodo.org/records/12737228
bix-11,cd811ead-7887-4369-b175-05aff4223765,6,6,0,0,False,Genomics;Phylogenetics and Evolutionary Analysis,Not Available
bix-12,d38392ec-84b8-485d-ab02-b8788e6f1f43,5,5,0,0,False,Genomics;Phylogenetics and Evolutionary Analysis;Whole Genome Sequencing (WGS),Not Available
bix-13,1d54e4a7-8b0f-4224-bd31-efcfded0d46c,5,0,5,0,True,Differential Expression Analysis;RNA-seq;Sequence Analysis;Transcriptomics,https://doi.org/10.17912/micropub.biology.001326
bix-14,7718a922-ce2c-4e59-900b-84fe06050ce6,3,0,1,2,False,Genomic Variant Analysis;Genomics,https://doi.org/10.1172/jci.insight.167744
bix-16,bda54b38-9b49-4009-aad6-d5f52675438a,4,1,2,1,True,Functional Genomics;Transcriptomics,
bix-17,1cf79c8c-fb8c-453c-8788-c8958ab6f152,1,0,1,0,False,Genomic Variant Analysis;Genomics,https://doi.org/10.3324/haematol.2024.285239
bix-18,d59734d2-a3e0-462a-a5fd-c8ddc11392b8,5,0,1,4,False,Imaging,https://doi.org/10.17912/micropub.biology.001326
bix-19,8c64b1fa-fdcc-41e2-be8d-2f0c8d5faaa1,5,1,1,3,False,Imaging;Other,"https://zenodo.org/records/8036465, https://www.science.org/doi/10.1126/sciadv.adf4950"
bix-20,2ccdbe37-0a92-47b5-9bab-fa8a8c470799,4,0,0,4,False,Genomic Variant Analysis;Genomics,doi.org/10.3324/haematol.2024.285239
